0.400	1.49842013125 0
0.410	1.493042611541 0
0.420	1.488044608844 0
0.430	1.483391233099 0
0.440	1.47905151343 0
0.450	1.474997881481 0
0.460	1.471205732514 0
0.470	1.467653051154 0
0.480	1.464320091146 0
0.490	1.461189100375 0
0.500	1.458244084 0
0.510	1.455470599769 0
0.520	1.452855580621 0
0.530	1.450387180491 0
0.540	1.448054639918 0
0.550	1.445848168595 0
0.560	1.443758842474 0
0.570	1.441778513389 0
0.580	1.439899729489 0
0.590	1.438115665039 0
0.600	1.436420058333 0
0.610	1.434807156678 0
0.620	1.433271667534 0
0.630	1.431808715042 0
0.640	1.43041380127 0
0.650	1.429082771598 0
0.660	1.427811783747 0
0.670	1.426597280018 0
0.680	1.42543596237 0
0.690	1.424324770006 0
0.700	1.423260859184 0
0.710	1.422241585003 0
0.720	1.421264484954 0
0.730	1.420327264027 0
0.740	1.419427781227 0
0.750	1.418564037333 0
0.760	1.417734163781 0
0.770	1.416936412548 0
0.780	1.416169146943 0
0.790	1.4154308332 0
0.800	1.414720032813 0
